lambda_A,B_0_0_Real,B_0_0_Imag,B_4_0_Real,B_4_0_Imag,B_6_0_Real,B_6_0_Imag,B_8_0_Real,B_8_0_Imag,B_10_0_Real,B_10_0_Imag,B_12_0_Real,B_12_0_Imag,B_12_1_Real,B_12_1_Imag,B_14_0_Real,B_14_0_Imag,B_16_0_Real,B_16_0_Imag,B_16_1_Real,B_16_1_Imag,B_18_0_Real,B_18_0_Imag,B_18_1_Real,B_18_1_Imag,B_20_0_Real,B_20_0_Imag,B_20_1_Real,B_20_1_Imag
1.0,10.077884906705746,0.0,-0.007651924581371151,7.57940397750598e-19,0.011767989973398996,1.0192177771466118e-16,-0.01843419224397808,-1.811138174375673e-18,0.006663406543309861,2.6721462399309726e-16,0.01764487595165762,-2.157067387023258e-05,0.0051515203044102936,-5.234621259442629e-05,1.8716715841291112e-05,9.706226314972087e-05,0.009562646159796816,-1.4281596355853659e-05,0.022248586370054193,-5.748895331092226e-07,-0.0008975382926965259,-2.7513451976975204e-06,-0.0002913979963281745,-3.0780554563108255e-06,0.0036021935345858466,7.808237864778581e-09,0.003839265442995527,7.32951053657392e-10
1.0100200400801602,10.280858359853042,0.0,-0.007606836948865905,7.5181769124583e-19,0.011395293426291593,9.870296531002516e-17,-0.01955105197805874,-1.867971465616346e-18,0.007228497890793434,2.899081114153448e-16,0.016192347984437933,-1.846206597269008e-05,0.003959823891120157,-4.4802458938124526e-05,9.953698292746302e-05,0.0005161848324224099,0.01014295199570065,-1.5115579189952152e-05,0.023004030902463515,-6.084605702798586e-07,-0.0002736619835365702,-7.0312333128768e-07,-0.000345659601132759,-4.0694099002455645e-06,0.0011270782715185178,2.023775261984597e-09,-0.0010657207734848816,1.8996964889489594e-10
1.0200400801603207,10.452490023288863,0.0,-0.01673250340604684,4.594736311305473e-19,0.014860746098354874,1.2912441972669833e-16,-0.028253621784455327,-2.8107864465997833e-18,0.012389277575029006,4.974568403422376e-16,0.02173141797649272,-2.2398204694510577e-05,0.003944125735521448,-5.435440690104521e-05,-0.0005145033431760284,-0.0026681421735640426,0.008769457030307539,-1.3494973092175812e-05,0.027643211928547,-5.432249019608751e-07,-0.0008889414777136101,-4.9452596929904845e-06,0.003911081451534901,4.8151671785062705e-05,0.0009481858999087428,1.7611256814555811e-09,-0.0005799258983816309,1.653150099587911e-10
1.0300601202404809,10.658852074034078,0.0,-0.01775069976071089,4.094858416837084e-19,0.015347034361653534,1.3345897367743354e-16,-0.032114711217255044,-3.1632336578993325e-18,0.015675197289498625,6.29565717016714e-16,0.023957065441114655,-2.805795504381658e-05,0.006286442397956068,-6.808909580313693e-05,-0.00056152750456577,-0.0029120028789307874,0.010587191068006364,-1.594175752306421e-05,0.02699771367035375,-6.417174460759023e-07,-0.00011575394361421415,-4.063690402353246e-06,0.006977804295305216,8.513067209011766e-05,0.000718195818239248,1.3041812576924552e-09,-0.0006002030767873368,1.224221188695043e-10
1.0400801603206413,10.867231349126767,0.0,-0.018832633065597803,3.5125112192317745e-19,0.015945078569673185,1.387884581504092e-16,-0.03650201664297052,-3.55988717704123e-18,0.019886748488007658,7.988819310215988e-16,0.02695290935923567,-3.948170326978792e-05,0.011630869947824887,-9.581145426348372e-05,-0.0003346800224864683,-0.0017356036544547615,0.015370434152984365,-2.2193643107894025e-05,0.02190344737126648,-8.933800400482572e-07,-0.0011724770803756153,-7.890347757503306e-06,0.007745694877851427,9.505102574914588e-05,0.0027270359514595215,5.8640880457265885e-09,0.0026517192912649023,5.504557604156122e-10
1.0501002004008015,11.077627848566902,0.0,-0.019981442148045307,2.8422415199371827e-19,0.016667752071742616,1.4522712918389595e-16,-0.041481737644737955,-4.006125527721006e-18,0.025218371785623687,1.0132181022121749e-15,0.03096513061869198,-5.8639876546020974e-05,0.021010733539107113,-0.0001423031780395479,0.00032413823328272606,0.0016809354142336259,0.024759066931681818,-3.435930540079888e-05,0.009982420684757925,-1.3830950369856657e-06,-0.008018469875583946,-2.691397951535662e-05,0.0018112881588993222,2.6321368492271802e-05,0.008927804971200463,1.9891436856155822e-08,0.012430586599410962,1.8671882006358003e-09
1.060120240480962,10.780771964252004,0.0,-0.02222589833411965,6.498397846755797e-19,0.025145841915948566,2.196265911985705e-16,-0.029212836757184616,-2.803578018116081e-18,0.006705350504055871,2.6914935829689374e-16,0.02533461614888789,-4.4082967257692624e-05,0.014947603239448295,-0.00010697748200850748,-0.0002905639273651424,-0.0015068237728711779,0.01696402629910032,-2.4030066298221238e-05,0.01572262651547818,-9.67303181706383e-07,-0.003136826322346478,-1.3926371116462594e-05,0.007135253277507061,8.86473652043486e-05,0.008978988576911089,2.0174136514980183e-08,0.013413689932211106,1.8937249197384636e-09
1.0701402805611222,10.985530391323087,0.0,-0.02363611708156725,6.142868084544433e-19,0.02783159965832382,2.433025331771271e-16,-0.02913636363890427,-2.7520601517707303e-18,0.0013984572363305967,5.587433279592673e-17,0.024074512404391235,-5.334991010034426e-05,0.0208037032096804,-0.00012946585502179384,-2.384998615326242e-06,-1.2368268299601554e-05,0.011658372203462731,-1.678249391000948e-05,0.015681530129360577,-6.7556033989332e-07,-0.005501460879119524,-1.9642845596883685e-05,0.0034694280022981574,4.520580130742606e-05,0.005586064313187747,1.3559102122798852e-08,0.013795909062980876,1.2727786188011422e-09
1.0801603206412826,11.192215050069347,0.0,-0.025131394752123067,5.716791740392645e-19,0.03089095261993017,2.702737541315594e-16,-0.028636173943054812,-2.6500565285076508e-18,-0.005879170687854852,-2.3662519914350624e-16,0.0216830102524137,-6.618533124544036e-05,0.02918111615049132,-0.00016061396323770118,0.000556237171447615,0.002884567953401211,-0.000880663937777888,9.738573155458095e-08,0.02010613008597928,3.920152652334763e-09,-0.013160354831933343,-3.854415210794429e-05,-0.007673758552939858,-8.659661800249706e-05,-0.011241979916566867,-2.1099039049705318e-08,0.005693961391181053,-1.980544539206106e-09
1.0901803607214429,11.004116274573068,0.0,0.0005125382588136595,1.8856369111207334e-18,0.02937351899059896,2.5641576848135086e-16,-0.016916941319607172,-1.3575516254986552e-18,0.0139858144596062,5.622060505617468e-16,0.024896188320194038,-4.576186425252817e-05,0.016095147473788915,-0.00011105171258398637,0.0001544503308221163,0.000800957752467734,0.013090593112269781,-1.833207559900261e-05,0.008291402546397018,-7.37937000845344e-07,-0.007492970609161386,-2.3600978049201565e-05,-0.0012376971704621985,-1.1127968371155235e-05,-0.0018809302541112282,-2.191116608085617e-09,0.008191915467060197,-2.0567780234805893e-10
