lambda_A,B_0_0_Real,B_0_0_Imag
1.0,10.077884906705746,0.0
1.0100200400801602,10.280858359853042,0.0
1.0200400801603207,10.452490023288863,0.0
1.0300601202404809,10.658852074034078,0.0
1.0400801603206413,10.867231349126767,0.0
1.0501002004008015,11.077627848566902,0.0
1.060120240480962,10.780771964252004,0.0
1.0701402805611222,10.985530391323087,0.0
1.0801603206412826,11.192215050069347,0.0
1.0901803607214429,11.004116274573068,0.0
1.100200400801603,11.207327426445577,0.0
1.1102204408817635,11.412397783733201,0.0
1.1202404809619237,11.619327346435941,0.0
1.1302605210420842,11.584020871481757,0.0
1.1402805611222444,11.276114517354909,0.0
1.1503006012024048,11.475159474797845,0.0
1.160320641282565,11.6759458579402,0.0
1.1703406813627255,11.778300736110754,0.0
1.1803607214428857,11.98084733789254,0.0
1.1903807615230462,12.185120679672472,0.0
1.2004008016032064,12.391120761450539,0.0
1.2104208416833666,12.59884758322674,0.0
1.220440881763527,12.808301145001092,0.0
1.2304609218436873,12.6367089349817,0.0
1.2404809619238477,12.440042462287368,0.0
1.250501002004008,12.641824125617182,0.0
1.2605210420841684,12.845229132980226,0.0
1.2705410821643286,13.05025748437649,0.0
1.280561122244489,12.777213466226874,0.0
1.2905811623246493,12.977952160503794,0.0
1.3006012024048097,13.180255458789105,0.0
1.31062124248497,13.384123361082812,0.0
1.3206412825651301,13.58955586738491,0.0
1.3306613226452906,13.7965529776954,0.0
1.340681362725451,14.005114692014292,0.0
1.3507014028056112,13.439464810124708,0.0
1.3607214428857715,13.639603006816788,0.0
1.370741482965932,12.512504870594354,0.0
1.3807615230460921,12.69610483711531,0.0
1.3907815631262526,12.881042021163736,0.0
1.4008016032064128,13.067316422739623,0.0
1.4108216432865732,13.254928041842987,0.0
1.4208416833667334,13.443876878473802,0.0
1.4308617234468937,13.634162932632087,0.0
1.440881763527054,13.412572733413134,0.0
1.4509018036072145,13.599766181800106,0.0
1.4609218436873748,13.788256882081646,0.0
1.470941883767535,13.978044834257759,0.0
1.4809619238476954,14.16913003832845,0.0
1.4909819639278556,14.361512494293706,0.0
1.5010020040080159,14.555192202153549,0.0
1.5110220440881763,14.750169161907964,0.0
1.5210420841683367,14.946443373556948,0.0
1.531062124248497,15.144014837100498,0.0
1.5410821643286572,15.342883552538629,0.0
1.5511022044088176,15.543049519871339,0.0
1.561122244488978,14.152365716484251,0.0
1.5711422845691383,14.334622251679342,0.0
1.5811623246492985,14.518044855557699,0.0
1.591182364729459,14.702633528119332,0.0
1.6012024048096192,14.888388269364231,0.0
1.6112224448897794,15.075309079292401,0.0
1.6212424849699398,15.263395957903843,0.0
1.6312625250501003,15.452648905198558,0.0
1.6412825651302605,15.64306792117654,0.0
1.6513026052104207,15.834653005837788,0.0
1.6613226452905812,14.483385040230905,0.0
1.6713426853707416,14.658621015106561,0.0
1.6813627254509018,14.83491072404641,0.0
1.691382765531062,15.01225416705045,0.0
1.7014028056112225,15.1906513441187,0.0
1.7114228456913827,15.37010225525113,0.0
1.721442885771543,15.550606900447761,0.0
1.7314629258517034,15.732165279708585,0.0
1.7414829659318638,15.91477739303361,0.0
1.751503006012024,16.098443240422824,0.0
1.7615230460921842,16.283162821876235,0.0
1.7715430861723447,16.468936137393843,0.0
1.7815631262525051,16.65576318697565,0.0
1.7915831663326653,16.84364397062165,0.0
1.8016032064128256,17.03257848833183,0.0
1.811623246492986,15.003681324134579,0.0
1.8216432865731462,15.170110237914145,0.0
1.8316633266533064,15.337457126948971,0.0
1.8416833667334669,15.505721991239064,0.0
1.8517034068136273,15.67490483078443,0.0
1.8617234468937875,13.381046033334092,0.0
1.8717434869739478,13.525470740619733,0.0
1.8817635270541082,13.670670674460855,0.0
1.8917835671342687,13.816645834857457,0.0
1.9018036072144289,13.963396221809532,0.0
1.911823647294589,14.11092183531708,0.0
1.9218436873747495,14.25922267538012,0.0
1.9318637274549098,14.408298741998632,0.0
1.94188376753507,14.558150035172616,0.0
1.9519038076152304,14.708776554902087,0.0
1.9619238476953909,14.860178301187034,0.0
1.971943887775551,15.012355274027469,0.0
1.9819639278557113,15.165307473423368,0.0
1.9919839679358717,15.319034899374754,0.0
2.0020040080160317,15.473537551881606,0.0
2.012024048096192,15.628815430943948,0.0
2.0220440881763526,15.784868536561772,0.0
2.032064128256513,15.080836491558673,0.0
2.0420841683366735,15.229929371648359,0.0
2.052104208416834,15.379755615634208,0.0
2.062124248496994,15.530315223516213,0.0
2.072144288577154,15.681608195294375,0.0
2.0821643286573144,15.833634530968714,0.0
2.092184368737475,15.986394230539211,0.0
2.1022044088176353,16.13988729400587,0.0
2.1122244488977957,16.29411372136868,0.0
2.122244488977956,16.449073512627667,0.0
2.132264529058116,16.60476666778281,0.0
2.1422845691382766,16.761193186834106,0.0
2.1523046092184366,16.918353069781563,0.0
2.162324649298597,17.0762463166252,0.0
2.1723446893787575,17.23487292736499,0.0
2.182364729458918,17.394232902000933,0.0
2.1923847695390783,17.554326240533047,0.0
2.2024048096192383,17.715152942961314,0.0
2.212424849699399,17.876713009285755,0.0
2.222444889779559,18.039006439506345,0.0
2.2324649298597192,18.202033233623105,0.0
2.2424849699398797,18.365793391636032,0.0
2.25250501002004,18.530286913545115,0.0
2.2625250501002006,18.695513799350362,0.0
2.272545090180361,18.86147404905176,0.0
2.282565130260521,19.02816766264933,0.0
2.292585170340681,19.195594640143046,0.0
2.3026052104208414,19.363754981532946,0.0
2.312625250501002,19.532648686819,0.0
2.3226452905811623,19.702275756001217,0.0
2.3326653306613228,19.872636189079596,0.0
2.342685370741483,18.100350046917885,0.0
2.352705410821643,18.255517361658786,0.0
2.3627254509018036,18.411346935532176,0.0
2.3727454909819636,18.56783876853804,0.0
2.382765531062124,18.7249928606764,0.0
2.3927855711422845,18.882809211947233,0.0
2.402805611222445,19.04128782235056,0.0
2.4128256513026054,19.20042869188637,0.0
2.4228456913827654,19.36023182055464,0.0
2.432865731462926,19.52069720835543,0.0
2.442885771543086,12.8957665899877,0.0
2.4529058116232463,13.00177326775159,0.0
2.4629258517034067,13.108213865604561,0.0
2.472945891783567,13.21508838354662,0.0
2.4829659318637276,13.322396821577769,0.0
2.492985971943888,13.430139179698001,0.0
2.503006012024048,13.53831545790731,0.0
2.513026052104208,13.646925656205715,0.0
2.5230460921843685,13.755969774593211,0.0
2.533066132264529,13.865447813069792,0.0
2.5430861723446894,13.975359771635453,0.0
2.55310621242485,14.085705650290206,0.0
2.5631262525050102,14.196485449034048,0.0
2.5731462925851702,14.307699167866971,0.0
2.5831663326653307,14.419346806788983,0.0
2.5931863727454907,14.53142836580008,0.0
2.603206412825651,14.643943844900262,0.0
2.6132264529058116,14.75689324408954,0.0
2.623246492985972,14.8702765633679,0.0
2.6332665330661325,14.98409380273535,0.0
2.6432865731462925,15.098344962191874,0.0
2.653306613226453,15.213030041737497,0.0
2.663326653306613,15.328149041372196,0.0
2.6733466933867733,15.443701961095993,0.0
2.6833667334669338,15.559688800908871,0.0
2.693386773547094,15.676109560810838,0.0
2.7034068136272547,15.792964240801894,0.0
2.7134268537074147,15.910252840882027,0.0
2.723446893787575,16.027975361051254,0.0
2.733466933867735,16.14613180130956,0.0
2.7434869739478955,16.26472216165697,0.0
2.753507014028056,16.383746442093457,0.0
2.7635270541082164,16.503204642619025,0.0
2.773547094188377,16.62309676323369,0.0
2.7835671342685373,16.743422803937435,0.0
2.7935871743486973,16.864182764730266,0.0
2.8036072144288577,16.985376645612188,0.0
2.8136272545090177,17.107004446583193,0.0
2.823647294589178,17.229066167643285,0.0
2.8336673346693386,17.35156180879246,0.0
2.843687374749499,17.474491370030734,0.0
2.8537074148296595,17.597854851358086,0.0
2.8637274549098195,11.836010576669311,0.0
2.87374749498998,11.918982706712255,0.0
2.88376753507014,12.002244645103236,0.0
2.8937875751503004,12.085796391842253,0.0
2.903807615230461,12.169637946929306,0.0
2.9138276553106213,12.2537693103644,0.0
2.9238476953907817,12.338190482147523,0.0
2.9338677354709417,12.422901462278686,0.0
2.943887775551102,12.50790225075789,0.0
2.953907815631262,12.593192847585122,0.0
2.9639278557114226,12.678773252760395,0.0
2.973947895791583,12.764643466283706,0.0
2.9839679358717435,12.850803488155057,0.0
2.993987975951904,12.937253318374447,0.0
3.004008016032064,13.023992956941866,0.0
3.0140280561122244,13.111022403857321,0.0
3.024048096192385,13.198341659120816,0.0
3.034068136272545,13.285950722732347,0.0
3.0440881763527052,13.373849594691922,0.0
3.0541082164328657,13.462038274999523,0.0
3.064128256513026,13.550516763655168,0.0
3.074148296593186,13.63928506065884,0.0
3.0841683366733466,13.72834316601056,0.0
3.094188376753507,13.817691079710313,0.0
3.1042084168336674,13.90732880175811,0.0
3.1142284569138274,13.997256332153936,0.0
3.124248496993988,14.0874736708978,0.0
3.1342685370741483,14.1779808179897,0.0
3.1442885771543083,14.268777773429633,0.0
3.1543086172344688,14.359864537217607,0.0
3.164328657314629,14.45124110935362,0.0
3.1743486973947896,14.542907489837669,0.0
3.1843687374749496,14.63486367866975,0.0
3.19438877755511,14.727109675849873,0.0
3.2044088176352705,14.819645481378032,0.0
3.214428857715431,14.912471095254226,0.0
3.224448897795591,15.005586517478458,0.0
3.2344689378757514,15.098991748050725,0.0
3.244488977955912,15.192686786971032,0.0
3.254509018036072,15.286671634239374,0.0
3.2645290581162323,15.38094628985575,0.0
3.2745490981963927,15.47551075382017,0.0
3.284569138276553,15.57036502613262,0.0
3.294589178356713,15.66550910679311,0.0
3.3046092184368736,15.760942995801637,0.0
3.314629258517034,15.856666693158207,0.0
3.3246492985971945,15.952680198862804,0.0
3.3346693386773545,16.048983512915438,0.0
3.344689378757515,16.145576635316115,0.0
3.3547094188376754,16.24245956606482,0.0
3.3647294589178354,16.33963230516157,0.0
3.374749498997996,16.43709485260635,0.0
3.3847695390781563,16.53484720839917,0.0
3.3947895791583167,16.63288937254003,0.0
3.4048096192384767,16.731221345028924,0.0
3.414829659318637,16.829843125865857,0.0
3.4248496993987976,16.92875471505082,0.0
3.434869739478958,17.027956112583837,0.0
3.444889779559118,17.12744731846487,0.0
3.4549098196392785,17.22722833269395,0.0
3.464929859719439,17.327299155271067,0.0
3.474949899799599,17.42765978619622,0.0
3.4849699398797593,17.528310225469408,0.0
3.49498997995992,17.629250473090632,0.0
3.50501002004008,17.7304805290599,0.0
3.51503006012024,17.832000393377196,0.0
3.5250501002004007,17.933810066042533,0.0
