>BT8; Created QKowari;
>grid: 
>backgr: 
-4.0
0	1.6	1872.6517
0	4.6	1526.2875
0	7.6	2162.0816
0	10.6	1210.0327
0	13.6	1258.1726
0	16.6	1299.9989
0	19.6	1553.9227
0	22.6	1787.4782
0	25.6	1767.1531
0	28.6	1437.7094
0	31.6	1818.9848
0	34.6	2447.6012
0	37.6	3434.2984
0	40.6	3440.9509
0	43.6	3127.8777
0	46.6	3237.6248
0	49.6	3047.202
0	52.6	4165.9909
0	55.6	4360.1312
0	58.6	3735.333
0	61.6	4102.5142
0	64.6	4781.7323
0	67.6	4428.7455
0	70.6	4443.8063
0	73.6	4686.973
0	76.6	4726.0981
0	79.6	5095.798
0	82.6	4632.0311
0	85.6	4367.1282
0	88.6	4562.8876
0	91.6	4112.8581
0	94.6	4383.341
0	97.6	4130.1568
0	100.6	3997.2476
0	103.6	3888.406
0	106.6	3920.0522
0	109.6	4113.7071
0	112.6	4112.2893
0	115.6	4141.062
0	118.6	3663.8251
0	121.6	4048.0861
0	124.6	3824.1536
0	127.6	3993.5402
0	130.6	3648.8099
0	133.6	3191.9253
0	136.6	3403.0614
0	139.6	3254.8264
0	142.6	3076.6395
0	145.6	2848.077
0	148.6	2738.0361
0	151.6	2248.8094
0	154.6	1636.6831
0	157.6	2637.8039
0	160.6	1696.2054
0	163.6	1437.9936
0	166.6	1184.2971
0	169.6	1219.8751
0	172.6	1930.4982
0	175.6	1081.8878
0	178.6	1263.7305
0	181.6	2712.8457
0	184.6	1094.7513
0	187.6	1685.4794
0	190.6	1442.9679
0	193.6	1210.8396
0	196.6	1337.5144
0	199.6	1561.5903
0	202.6	1622.3456
0	205.6	1526.9013
0	208.6	2302.9515
0	211.6	1621.1351
0	214.6	2020.8496
0	217.6	2062.0341
0	220.6	2516.7874
0	223.6	3394.6273
0	226.6	2921.4622
0	229.6	3415.8676
0	232.6	3725.9165
0	235.6	3815.577
0	238.6	3983.1167
0	241.6	4195.3888
0	244.6	4616.862
0	247.6	4710.6816
0	250.6	4448.6763
0	253.6	4686.2701
0	256.6	5075.6484
0	259.6	4441.6956
0	262.6	4561.3121
0	265.6	4414.3566
0	268.6	4213.8788
0	271.6	3746.583
0	274.6	3772.9155
0	277.6	3619.7077
0	280.6	4125.0628
0	283.6	4129.4048
0	286.6	3853.4458
0	289.6	4162.2377
0	292.6	4263.6597
0	295.6	4255.5403
0	298.6	3625.4904
0	301.6	3791.2145
0	304.6	3614.0896
0	307.6	3623.5634
0	310.6	3950.2587
0	313.6	3525.8832
0	316.6	2853.7222
0	319.6	3300.6776
0	322.6	2873.2087
0	325.6	2932.7061
0	328.6	2250.0737
0	331.6	2344.1295
0	334.6	2424.7216
0	337.6	1860.9919
0	340.6	1786.718
0	343.6	1635.4406
0	346.6	1255.2521
0	349.6	1641.732
0	352.6	1422.2772
0	355.6	1698.4292
0	358.6	1388.4439
3.38	0.743	1274.8492
3.38	3.743	1371.1506
3.38	6.743	1198.134
3.38	9.743	1437.2472
3.38	12.743	1984.9421
3.38	15.743	1630.8577
3.38	18.743	1813.6523
3.38	21.743	1763.5188
3.38	24.743	1733.0353
3.38	27.743	2674.255
3.38	30.743	2308.361
3.38	33.743	1903.0922
3.38	36.743	2530.8633
3.38	39.743	2201.8236
3.38	42.743	2381.5597
3.38	45.743	3562.5056
3.38	48.743	2986.9498
3.38	51.743	3265.7908
3.38	54.743	3448.627
3.38	57.743	4012.7457
3.38	60.743	4022.9317
3.38	63.743	4414.0457
3.38	66.743	4150.9374
3.38	69.743	4428.3398
3.38	72.743	4515.115
3.38	75.743	4528.4234
3.38	78.743	4626.5985
3.38	81.743	4766.8154
3.38	84.743	4531.2443
3.38	87.743	4825.854
3.38	90.743	4490.8097
3.38	93.743	4343.7307
3.38	96.743	4086.7679
3.38	99.743	4070.3011
3.38	102.743	4199.4068
3.38	105.743	4100.6528
3.38	108.743	4199.4988
3.38	111.743	4198.2499
3.38	114.743	4055.1766
3.38	117.743	4243.3722
3.38	120.743	4123.1415
3.38	123.743	3727.5207
3.38	126.743	3574.613
3.38	129.743	3462.9374
3.38	132.743	3531.945
3.38	135.743	3148.3841
3.38	138.743	3378.3335
3.38	141.743	2753.2661
3.38	144.743	2827.0976
3.38	147.743	2867.095
3.38	150.743	2326.8847
3.38	153.743	1998.7981
3.38	156.743	2361.3776
3.38	159.743	2101.4472
3.38	162.743	2179.7938
3.38	165.743	2136.2654
3.38	168.743	1136.4572
3.38	171.743	1654.6696
3.38	174.743	1672.9058
3.38	177.743	1439.9344
3.38	180.743	2194.0977
3.38	183.743	1846.0496
3.38	186.743	2305.4858
3.38	189.743	1123.9418
3.38	192.743	1587.5881
3.38	195.743	2411.406
3.38	198.743	1916.2703
3.38	201.743	2774.597
3.38	204.743	2301.7172
3.38	207.743	1691.018
3.38	210.743	2604.0249
3.38	213.743	2333.7972
3.38	216.743	2340.1526
3.38	219.743	3082.6114
3.38	222.743	2479.641
3.38	225.743	2829.2995
3.38	228.743	3389.4934
3.38	231.743	3446.7302
3.38	234.743	3598.1119
3.38	237.743	3828.5302
3.38	240.743	4062.196
3.38	243.743	4239.051
3.38	246.743	5116.4198
3.38	249.743	4796.0647
