l,mu,nu,Real,Imag,Magnitud
17,0,7,0.014751211001709117,0.018833445118225062,0.02392272729097039
17,0,8,0.030984644282608442,0.009516857566535046,0.03241324974854412
17,0,9,0.006735334646008183,-0.000585005392843936,0.006760692575718456
17,0,10,0.0015655915923771324,-0.0043493173279628376,0.004622514278338117
17,0,11,0.0033382041719661935,-0.0068771674837339305,0.007644543131741738
17,0,12,-0.004902463527424797,0.03509580717389235,0.03543656063763474
17,0,13,-0.008132811687870323,-0.013659421090393972,0.015897245373808
17,0,14,-2.0951034522475504e-18,-0.018497357721285128,0.018497357721285128
17,0,15,-0.009535804257763781,0.006303522063526584,0.01143092092736855
17,0,16,0.008132811687870316,-0.01365942109039394,0.015897245373807968
17,0,17,-0.004902463527424804,-0.03509580717389237,0.03543656063763477
17,0,18,-0.0033382041719661887,-0.006877167483733932,0.0076445431317417375
17,0,19,-0.001565591592377134,-0.004349317327962841,0.004622514278338121
17,0,20,0.006735334646008188,0.000585005392843946,0.006760692575718463
17,0,21,-0.030984644282608463,0.009516857566535064,0.03241324974854415
17,0,22,0.014751211001709102,-0.01883344511822504,0.023922727290970364
17,0,23,-0.021453090236811637,0.007226589791524644,0.02263755023680237
17,0,24,-0.011166388622793982,-0.007757810514741137,0.013596759130685924
17,0,25,-0.02623020415447152,0.010690491741692317,0.0283250811766612
17,0,26,-0.014682709004904287,-0.030029494060654624,0.033426822422443755
17,0,27,0.015050593015835058,-0.02505008130255664,0.029223739038545374
17,0,28,0.01181580094901302,0.015149429443166327,0.019212453370670072
17,0,29,-0.006936880918809476,-0.004430140335488548,0.008230823790718982
17,0,30,-0.009535804257763781,-0.006303522063526545,0.01143092092736853
17,0,31,0.0021036756832427243,0.005051495488934044,0.005472025041516873
17,0,32,0.01639415560702601,0.012136157301630665,0.020397417780623744
17,0,33,0.016394155607026013,-0.012136157301630666,0.020397417780623747
17,0,34,0.002103675683242752,-0.005051495488934035,0.005472025041516876
18,0,0,-0.004771059939911541,0.009319057998266938,0.01046937700750583
18,0,1,-0.007702922041078946,-0.016321926683461285,0.018048276888147113
18,0,2,-0.0010749277085723994,0.011336028320390124,0.011386878749654957
18,0,3,0.005000093544777136,-0.015287917559094975,0.016084817647402983
18,0,4,0.0011728370598721876,-0.010144870197324313,0.010212440359168257
18,0,5,0.0022993962771840136,-0.028742184500472858,0.028834014515824014
18,0,6,0.014604919851989551,-0.024197685992428174,0.028263610726005854
18,0,7,0.014080778444283685,-0.004712917741388314,0.014848566100270315
18,0,8,0.011449800938950658,-0.012514968113819823,0.01696238097766709
18,0,9,-0.00042556349233968075,-0.008271672547062665,0.008282612571637194
18,0,10,0.014296138407726243,-0.0030418086506093975,0.01461616137157043
18,0,11,-0.006487033867597071,0.006400611926034005,0.009113146626003564
18,0,12,-0.0039215099693700435,-0.0010375683414062817,0.004056450234251274
18,0,13,0.0035582128437356094,0.011580681539428313,0.012114993337141411
18,0,14,0.018169563060017446,-4.175642922038857e-18,0.018169563060017446
18,0,15,-0.0035582128437355817,0.011580681539427887,0.012114993337140995
18,0,16,0.006487033867594709,0.0064006119260220295,0.009113146625993471
18,0,17,0.014296138407726306,0.0030418086506093815,0.014616161371570489
18,0,18,-0.00042556349235845734,0.00827167254706349,0.008282612571638984
18,0,19,-0.011449800938945619,-0.012514968113779558,0.01696238097763398
18,0,20,0.014080778444283468,0.004712917741388357,0.014848566100270123
18,0,21,-0.014604919851990679,-0.024197685992426707,0.02826361072600518
18,0,22,-0.002299396277184464,-0.02874218450047431,0.028834014515825495
18,0,23,0.0011728370598720617,0.010144870197324242,0.010212440359168172
18,0,24,-0.005000093544777123,-0.015287917559095058,0.01608481764740306
18,0,25,-0.001074927708572479,-0.011336028320390183,0.011386878749655023
18,0,26,0.007702922041078948,-0.016321926683461236,0.018048276888147072
18,0,27,-0.004771059939911549,-0.009319057998266945,0.01046937700750584
18,0,28,0.0037818805799277435,-0.002938350065905141,0.004789208894028256
18,0,29,0.005821264492618541,0.007721849640378788,0.009670267946734435
18,0,30,-0.005821264492618508,0.007721849640378457,0.009670267946734151
18,0,31,0.009535122819324148,0.002297014034689027,0.00980789685177992
18,0,32,0.003781880579927483,0.002938350065905139,0.004789208894028049
18,0,33,0.027545697443498014,0.009799207237364271,0.029236790352731013
18,0,34,-0.009535122819324154,0.002297014034689019,0.009807896851779923
18,0,35,0.02754569744349801,-0.009799207237364256,0.029236790352731006
18,0,36,-0.0039215099693576125,0.0010375683414035645,0.004056450234238562
18,1,0,0.012467861020876856,-0.011862872078342628,0.017209744111491652
18,1,1,-0.007725460669905054,-0.016917212157061868,0.018597709797964147
18,1,2,-0.007223343575580715,-2.4098316703097554e-06,0.007223343977561353
18,1,3,-0.004305591348085008,0.002582897392417972,0.005020903882416395
18,1,4,0.006493440520090603,0.01111977827777175,0.012876887773633775
18,1,5,0.01878997641299828,-0.0019304628294912563,0.01888888298277797
18,1,6,0.0023474548916434857,0.011784551468437768,0.012016080799518604
18,1,7,0.011977416106223517,-0.007181044616153066,0.013965167323050715
18,1,8,-0.0009531137996167834,-0.006496902034376152,0.006566442108120723
18,1,9,-0.00038245300842925094,-0.013044744524202394,0.013050349803946442
18,1,10,-0.0010592791044460152,-0.006269832094778488,0.006358684354316572
18,1,11,0.016955801651972857,0.0010981968044740302,0.016991328549657393
18,1,12,-0.006887633170887783,0.000862224657650586,0.006941391939443728
18,1,13,0.006920722176071479,0.011762422550118059,0.013647379956822971
18,1,14,0.01473498023581106,-5.755219810273847e-18,0.01473498023581106
18,1,15,-0.006920722176071566,0.011762422550121165,0.013647379956825693
18,1,16,-0.016955801651972496,0.00109819680447641,0.016991328549657188
18,1,17,-0.001059279104444734,0.006269832094778392,0.006358684354316264
18,1,18,-0.00038245300842331765,0.013044744524202484,0.013050349803946358
18,1,19,0.0009531137996184339,-0.006496902034365514,0.006566442108110437
18,1,20,0.011977416106224785,0.00718104461615277,0.013965167323051648
18,1,21,-0.0023474548916434935,0.011784551468437439,0.012016080799518285
18,1,22,-0.0187899764129981,-0.001930462829490677,0.01888888298277773
18,1,23,0.006493440520090899,-0.011119778277771573,0.012876887773633772
18,1,24,0.004305591348085199,0.002582897392418101,0.005020903882416626
18,1,25,-0.007223343575580594,2.409831670592968e-06,0.007223343977561232
18,1,26,0.007725460669905055,-0.01691721215706221,0.018597709797964462
18,1,27,0.012467861020876948,0.011862872078342636,0.017209744111491725
18,1,28,-0.004501353252640882,0.004299926725086863,0.006225074372742617
18,1,29,0.006970157671443596,-0.00807384126989305,0.010666302584129716
18,1,30,-0.006970157671443622,-0.008073841269890955,0.010666302584128146
18,1,31,0.0017716301883012296,-0.002276226186893775,0.002884420076549396
18,1,32,-0.004501353252639379,-0.004299926725086884,0.006225074372741544
18,1,33,0.010808999798664481,-0.0020275854797028254,0.010997526063848658
18,1,34,-0.001771630188301191,-0.002276226186893712,0.002884420076549323
18,1,35,0.01080899979866443,0.0020275854797027273,0.010997526063848588
18,1,36,-0.006887633170890032,-0.0008622246576557375,0.0069413919394466
19,0,0,-0.008064919026982942,0.021995215231029142,0.023427172513367633
19,0,1,-0.007368642166275803,0.0017781062721423763,0.007580141772397784
19,0,2,-0.007075200165321834,0.008038587671329325,0.010708751053648503
19,0,3,0.0022917238317264246,0.00907084950301886,0.009355870287008064
19,0,4,0.018490941868047783,-0.0023852253938170544,0.01864414737516393
19,0,5,0.001421996927718759,-0.020028494149656195,0.020078910656837288
19,0,6,-0.010374474941306123,0.007030045147411075,0.012532009618669572
19,0,7,0.017945901297854644,-0.008178731481882737,0.01972173983311515
19,0,8,0.004600791392462448,0.00494788288715926,0.006756391529655456
19,0,9,-0.007980584402202777,-0.0023363141336535448,0.008315533123726439
19,0,10,0.00697351048219111,0.020136854473850756,0.021310156183056764
19,0,11,-0.01590517654382471,-0.0028609537613301515,0.016160436173405124
19,0,12,-0.007149763280450755,-0.006087213814925996,0.009390063205064587
19,0,13,0.005620574720058501,0.01247631195542969,0.01368390368984518
