lambda_A,B_0_0,B_4_0,B_6_0
1.0,50.92325294936189,0.00173148223680443,-0.15059682739563943
1.0100200400801602,51.06339022367359,0.024057801229213777,-0.04090722199460882
1.0200400801603207,50.200664362565085,-0.09893204365494318,0.028376326659384322
1.0300601202404809,51.19176906809933,-0.10491045038565068,0.054460945238242874
1.0400801603206413,52.19256199167401,-0.11126544230197735,0.08383035672826247
1.0501002004008015,52.82745298511428,-0.050235505582391794,0.04244578162413387
1.060120240480962,53.84042039656549,-0.04954841873269733,0.06284023832023636
1.0701402805611222,54.86300763148727,-0.04874972175544717,0.08540252372881728
1.0801603206412826,55.89521468987963,-0.04783403637398632,0.11030252781638664
1.0901803607214429,55.5024167940251,-0.12541110277998596,0.11905160110048403
1.100200400801603,56.52737052651912,-0.13320299238822664,0.14499852812837755
1.1102204408817635,56.00959879059701,0.04288220930013165,0.01117770622685043
1.1202404809619237,57.02516466943575,0.054241482611298734,0.008519771259507453
1.1302605210420842,58.049855129396136,0.0664075655433307,0.004707968935389485
1.1402805611222444,59.08367017047817,0.07941676713688745,-0.0003811137641672883
1.1503006012024048,58.231937823321836,-0.18871293093809716,-0.01847290340998286
1.160320641282565,59.25085004014929,-0.20364205153465836,-0.0288452506645526
1.1703406813627255,60.27859931002821,-0.21949855848042266,-0.04117606567578298
1.1803607214428857,61.31518563295848,-0.23632356208942604,-0.05564305469112529
1.1903807615230462,62.36060900894022,-0.25415940488744676,-0.07243448484519198
1.2004008016032064,63.414869437973294,-0.2730496841820384,-0.09174962437207988
1.2104208416833666,61.35155458569512,-0.1389855209700782,-0.29493621973028195
1.220440881763527,62.3715130813813,-0.1446103424171346,-0.3548961787791822
1.2304609218436873,57.993399214233605,-0.06639284324396061,-0.04813808206465855
1.2404809619238477,58.94176287367761,-0.06428555576744606,-0.05301884175477385
1.250501002004008,59.89781804698571,-0.061966806377812704,-0.05863396047169818
1.2605210420841684,60.86156473415793,-0.059427487700884435,-0.06503761492401532
1.2705410821643286,61.83300293519424,-0.056658242212706614,-0.07228656723913207
1.280561122244489,61.13300496697012,0.055262562583481244,0.19790481700895324
1.2905811623246493,62.09344596036285,0.06896641741224586,0.24055530297611877
1.3006012024048097,63.06137285393794,0.08352732671938944,0.2874602139944872
1.31062124248497,64.03678564769531,0.0989790627853899,0.33892284831738934
1.3206412825651301,65.019684341635,0.115356289310758,0.3952624128769954
1.3306613226452906,66.01006893575708,0.13269457598214332,0.456814626197761
1.340681362725451,67.00793943006144,0.15103041315022545,0.5239323370436275
1.3507014028056112,68.01329582454815,0.17040122661940174,0.5969861590537365
1.3607214428857715,69.02613811921717,0.1908453925492575,0.6763651216233272
