lambda_A,B_0_0_Real,B_0_0_Imag
1.0,50.92325294936189,0.0
1.0100200400801602,51.06339022367359,0.0
1.0200400801603207,50.200664362565085,0.0
1.0300601202404809,51.19176906809933,0.0
1.0400801603206413,52.19256199167401,0.0
1.0501002004008015,52.82745298511428,0.0
1.060120240480962,53.84042039656549,0.0
1.0701402805611222,54.86300763148727,0.0
1.0801603206412826,55.89521468987963,0.0
1.0901803607214429,55.5024167940251,0.0
1.100200400801603,56.52737052651912,0.0
1.1102204408817635,56.00959879059701,0.0
1.1202404809619237,57.02516466943575,0.0
1.1302605210420842,58.049855129396136,0.0
1.1402805611222444,59.08367017047817,0.0
1.1503006012024048,58.231937823321836,0.0
1.160320641282565,59.25085004014929,0.0
1.1703406813627255,60.27859931002821,0.0
1.1803607214428857,61.31518563295848,0.0
1.1903807615230462,62.36060900894022,0.0
1.2004008016032064,63.414869437973294,0.0
1.2104208416833666,61.35155458569512,0.0
1.220440881763527,62.3715130813813,0.0
1.2304609218436873,57.993399214233605,0.0
1.2404809619238477,58.94176287367761,0.0
1.250501002004008,59.89781804698571,0.0
1.2605210420841684,60.86156473415793,0.0
1.2705410821643286,61.83300293519424,0.0
1.280561122244489,61.13300496697012,0.0
1.2905811623246493,62.09344596036285,0.0
1.3006012024048097,63.06137285393794,0.0
1.31062124248497,64.03678564769531,0.0
1.3206412825651301,65.019684341635,0.0
1.3306613226452906,66.01006893575708,0.0
1.340681362725451,67.00793943006144,0.0
1.3507014028056112,68.01329582454815,0.0
1.3607214428857715,69.02613811921717,0.0
1.370741482965932,70.04646631406854,0.0
1.3807615230460921,71.0742804091022,0.0
1.3907815631262526,72.10958040431827,0.0
1.4008016032064128,66.34874840725722,0.0
1.4108216432865732,67.30133849626013,0.0
1.4208416833667334,68.26071825090096,0.0
1.4308617234468937,69.22688767117975,0.0
1.440881763527054,70.19984675709648,0.0
1.4509018036072145,71.17959550865116,0.0
1.4609218436873748,72.16613392584375,0.0
1.470941883767535,73.15946200867428,0.0
1.4809619238476954,67.52494536688909,0.0
1.4909819639278556,68.44177052083019,0.0
1.5010020040080159,69.36477790777158,0.0
1.5110220440881763,70.29396752771326,0.0
1.5210420841683367,71.22933938065523,0.0
1.531062124248497,72.17089346659746,0.0
1.5410821643286572,73.11862978553998,0.0
1.5511022044088176,74.0725483374828,0.0
1.561122244488978,75.03264912242587,0.0
1.5711422845691383,75.99893214036922,0.0
1.5811623246492985,76.97139739131282,0.0
1.591182364729459,77.95004487525675,0.0
1.6012024048096192,78.93487459220088,0.0
1.6112224448897794,79.92588654214535,0.0
1.6212424849699398,71.07188019401332,0.0
