# alpha	beta	int	d	sig	s_int	s_d	s_sig
1.631960e+00	1.345730e+00	4.918131e-02	1.175208e+00	1.061220e-03	5.900605e-03	4.796182e-04	3.479567e-04
1.548470e+00	1.362600e+00	7.686228e-02	1.175706e+00	3.125730e-03	1.052534e-01	6.372117e-03	1.213445e-03
1.466110e+00	1.380760e+00	4.410916e-12	1.204275e+00	2.897563e-03	nan	nan	nan
1.648620e+00	1.457750e+00	2.678249e-02	1.172800e+00	2.306418e-03	1.537748e-02	2.428569e-03	2.126510e-03
1.565280e+00	1.466130e+00	4.795735e-02	1.173205e+00	1.074914e-03	7.401389e-03	4.392120e-04	3.741780e-04
1.482610e+00	1.475170e+00	4.905933e-02	1.174205e+00	7.687656e-04	4.564595e-03	2.252908e-04	1.808066e-04
-1.487520e+00	1.570750e+00	2.555751e-02	1.174064e+00	8.834313e-04	3.980363e-03	4.227240e-04	3.116515e-04
-1.570790e+00	1.570750e+00	3.283200e-02	1.174121e+00	2.040310e-03	6.828707e-03	2.351339e-03	1.132411e-03
-1.653540e+00	1.570750e+00	3.656649e-02	1.173258e+00	1.474572e-03	6.027947e-03	8.876634e-04	7.307649e-04
-1.492970e+00	1.457670e+00	3.019447e-02	1.172879e+00	1.025757e-03	6.323488e-03	5.263863e-04	4.586121e-04
-1.576310e+00	1.466040e+00	2.287731e-02	1.173531e+00	6.637140e-04	3.638066e-03	3.239356e-04	2.754594e-04
-1.658980e+00	1.475090e+00	3.283014e-10	1.208338e+00	2.590194e-02	1.418848e+00	3.939823e+07	4.263076e+07
-1.509620e+00	1.345640e+00	2.339132e-02	1.174163e+00	1.001408e-03	4.442132e-03	5.521895e-04	3.882198e-04
-1.593110e+00	1.362510e+00	6.166929e-02	1.173777e+00	1.760462e-03	5.995479e-03	7.780304e-04	4.065503e-04
-1.675480e+00	1.380670e+00	3.828758e-02	1.173773e+00	1.511736e-03	5.424336e-03	9.303352e-04	4.833360e-04
-6.113800e-02	1.345700e+00	5.279455e-03	1.166026e+00	2.345163e-06	8.779624e+07	8.314708e+07	5.761887e+06
2.235220e-02	1.362570e+00	1.459166e-02	1.173473e+00	8.230296e-04	5.256619e-03	9.812407e-04	5.265071e-04
1.047180e-01	1.380730e+00	1.289770e-02	1.175314e+00	7.379928e-04	4.245931e-03	5.731053e-04	4.710974e-04
-7.779700e-02	1.457720e+00	1.437386e-02	1.172752e+00	1.413289e-05	8.408228e+07	1.097031e+07	8.533167e+06
5.538070e-03	1.466100e+00	1.839162e-02	1.172870e+00	2.357546e-03	6.949450e-03	7.525351e-03	2.631635e-03
8.820940e-02	1.475150e+00	nan	nan	nan	nan	nan	nan
3.058340e+00	1.570790e+00	nan	nan	nan	nan	nan	nan
-3.141580e+00	1.570780e+00	8.568629e-03	1.173779e+00	1.645058e-03	1.066945e-02	3.996693e-03	2.130932e-03
-3.058830e+00	1.570780e+00	nan	nan	nan	nan	nan	nan
3.063790e+00	1.457700e+00	1.967472e-02	1.172377e+00	1.152455e-03	4.663774e-03	8.733058e-04	5.969774e-04
-3.136060e+00	1.466070e+00	nan	nan	nan	nan	nan	nan
-3.053390e+00	1.475110e+00	nan	nan	nan	nan	nan	nan
3.080430e+00	1.345670e+00	4.289667e-02	1.169260e+00	6.179994e-03	1.598654e-02	6.799406e-02	1.104159e-02
-3.119260e+00	1.362540e+00	1.546994e-02	1.172273e+00	5.950541e-04	3.526195e-03	3.413177e-04	3.900497e-04
-3.036890e+00	1.380690e+00	1.532097e-10	1.200624e+00	1.449724e-02	6.004820e-02	5.483855e+07	5.347748e+06
-1.508440e+00	1.273260e+00	1.004974e-12	1.147694e+00	5.522548e-06	nan	nan	nan
-1.593780e+00	1.255560e+00	6.433468e-02	1.173924e+00	1.822488e-03	8.298959e-03	1.206604e-03	5.627162e-04
-1.679510e+00	1.240120e+00	1.216324e-01	1.173305e+00	9.860173e-04	1.049220e-02	2.238831e-04	1.985610e-04
-1.486520e+00	1.161920e+00	8.326281e-02	1.174452e+00	1.293178e-03	9.650423e-03	4.322988e-04	3.220012e-04
-1.576800e+00	1.151910e+00	1.399779e-01	1.174408e+00	1.613056e-03	1.018189e-02	4.885588e-04	2.558872e-04
-1.667220e+00	1.144980e+00	2.459737e-01	1.173933e+00	1.677695e-03	1.179391e-02	2.815342e-04	1.499652e-04
-1.474720e+00	1.049190e+00	9.903282e-02	1.174115e+00	1.234411e-03	7.817585e-03	3.632026e-04	2.003574e-04
-1.570790e+00	1.047190e+00	8.128482e-02	1.175335e+00	1.194242e-03	9.557407e-03	4.779791e-04	2.880763e-04
-1.666270e+00	1.049170e+00	2.312047e-01	1.173244e+00	1.256719e-03	1.165758e-02	1.792061e-04	1.185876e-04
-1.474710e+00	9.359740e-01	3.203888e-02	1.172167e+00	4.238663e-04	5.030934e-03	1.861980e-04	1.767415e-04
-1.577580e+00	9.424940e-01	8.164287e-02	1.173266e+00	3.610112e-04	7.253512e-03	9.864213e-05	9.350730e-05
-1.678490e+00	9.538990e-01	1.452585e-01	1.173139e+00	1.139696e-03	1.025808e-02	2.226219e-04	1.714614e-04
-1.489460e+00	8.233250e-01	4.472565e-02	1.171768e+00	7.311264e-04	7.428007e-03	3.164109e-04	3.476233e-04
-1.600160e+00	8.391170e-01	5.805401e-02	1.172887e+00	1.300350e-03	7.888314e-03	6.810933e-04	3.852854e-04
-1.706550e+00	8.606580e-01	1.028692e-01	1.172531e+00	1.658563e-03	7.737783e-03	5.349201e-04	2.758162e-04
6.160300e-02	1.345810e+00	3.666818e-02	1.168493e+00	1.029147e-04	1.354506e-02	2.634639e-04	3.659612e-04
