# alpha	beta	int	d	sig	s_int	s_d	s_sig
1.631960e+00	1.345730e+00	nan	nan	nan	nan	nan	nan
1.548470e+00	1.362600e+00	4.318990e-12	1.048356e+00	1.420679e-02	nan	nan	nan
1.466110e+00	1.380760e+00	nan	nan	nan	nan	nan	nan
1.648620e+00	1.457750e+00	nan	nan	nan	nan	nan	nan
1.565280e+00	1.466130e+00	1.877492e-09	9.931296e-01	5.942076e-03	3.159507e-02	2.970704e+05	9.633596e+04
1.482610e+00	1.475170e+00	nan	nan	nan	nan	nan	nan
-1.487520e+00	1.570750e+00	3.180215e-09	9.845209e-01	3.112464e-02	2.515462e+01	8.573919e+08	1.220247e+08
-1.570790e+00	1.570750e+00	7.802012e-02	9.875331e-01	1.437866e-02	4.673854e-01	1.645657e-01	4.569788e-02
-1.653540e+00	1.570750e+00	3.357194e-01	1.036364e+00	3.499991e-02	1.966174e+01	2.229980e+02	2.275795e+00
-1.492970e+00	1.457670e+00	3.622181e-08	1.046111e+00	2.623313e-02	1.640983e+01	3.214191e+07	1.013306e+07
-1.576310e+00	1.466040e+00	nan	nan	nan	nan	nan	nan
-1.658980e+00	1.475090e+00	3.349186e-01	1.001750e+00	3.500000e-02	nan	nan	nan
-1.509620e+00	1.345640e+00	3.444485e-03	9.985890e-01	1.184535e-05	1.559776e+08	4.514534e+07	1.971699e+07
-1.593110e+00	1.362510e+00	nan	nan	nan	nan	nan	nan
-1.675480e+00	1.380670e+00	8.775189e-07	1.050643e+00	3.429648e-02	9.621179e+01	3.643938e+08	1.752703e+07
-6.113800e-02	1.345700e+00	nan	nan	nan	nan	nan	nan
2.235220e-02	1.362570e+00	1.036720e-02	1.042219e+00	2.354541e-06	1.564786e+09	7.547641e+08	3.406730e+08
1.047180e-01	1.380730e+00	nan	nan	nan	nan	nan	nan
-7.779700e-02	1.457720e+00	1.030656e-02	1.002619e+00	1.573650e-04	2.567773e+08	3.072457e+07	4.555128e+06
5.538070e-03	1.466100e+00	nan	nan	nan	nan	nan	nan
8.820940e-02	1.475150e+00	nan	nan	nan	nan	nan	nan
3.058340e+00	1.570790e+00	1.429882e-02	1.017103e+00	2.722451e-03	1.073098e-02	3.526554e-02	1.148024e-02
-3.141580e+00	1.570780e+00	nan	nan	nan	nan	nan	nan
-3.058830e+00	1.570780e+00	1.120032e-02	1.015906e+00	4.387138e-06	5.496602e+07	1.463039e+07	5.664449e+06
3.063790e+00	1.457700e+00	nan	nan	nan	nan	nan	nan
-3.136060e+00	1.466070e+00	nan	nan	nan	nan	nan	nan
-3.053390e+00	1.475110e+00	nan	nan	nan	nan	nan	nan
3.080430e+00	1.345670e+00	nan	nan	nan	nan	nan	nan
-3.119260e+00	1.362540e+00	nan	nan	nan	nan	nan	nan
-3.036890e+00	1.380690e+00	nan	nan	nan	nan	nan	nan
-1.508440e+00	1.273260e+00	5.103717e-11	1.014584e+00	1.144299e-03	2.578719e-02	8.718755e+06	1.421049e+07
-1.593780e+00	1.255560e+00	nan	nan	nan	nan	nan	nan
-1.679510e+00	1.240120e+00	nan	nan	nan	nan	nan	nan
-1.486520e+00	1.161920e+00	nan	nan	nan	nan	nan	nan
-1.576800e+00	1.151910e+00	nan	nan	nan	nan	nan	nan
-1.667220e+00	1.144980e+00	2.186268e-02	1.002183e+00	3.029709e-05	2.432940e+03	4.558646e+02	5.010597e+03
-1.474720e+00	1.049190e+00	nan	nan	nan	nan	nan	nan
