# alpha	beta	int	d	sig	s_int	s_d	s_sig
1.631960e+00	1.345730e+00	1.310754e-01	9.099534e-01	1.307526e-03	1.266285e-02	4.424889e-04	2.651745e-04
1.548470e+00	1.362600e+00	3.885114e-12	9.423952e-01	8.541302e-03	nan	nan	nan
1.466110e+00	1.380760e+00	8.665777e-02	9.103462e-01	2.850525e-03	1.427231e-02	4.359312e-03	1.379979e-03
1.648620e+00	1.457750e+00	3.255735e-02	9.111376e-01	7.217602e-04	8.224838e-03	5.694740e-04	3.922671e-04
1.565280e+00	1.466130e+00	7.200465e-02	9.061459e-01	7.931718e-03	3.533699e-02	2.126326e-01	2.613254e-02
1.482610e+00	1.475170e+00	7.053939e-02	9.099671e-01	1.222218e-03	7.720131e-03	4.960625e-04	2.873902e-04
-1.487520e+00	1.570750e+00	6.440590e-02	9.097158e-01	9.268781e-04	8.427094e-03	3.999260e-04	2.792612e-04
-1.570790e+00	1.570750e+00	5.976672e-02	9.108069e-01	5.201309e-04	7.755084e-03	1.899652e-04	1.701945e-04
-1.653540e+00	1.570750e+00	1.105387e-01	9.098559e-01	1.516052e-03	9.263518e-03	5.134378e-04	2.842415e-04
-1.492970e+00	1.457670e+00	4.553096e-02	9.095563e-01	2.926496e-03	1.431946e-02	1.081691e-02	3.014784e-03
-1.576310e+00	1.466040e+00	6.256454e-02	9.096619e-01	2.199323e-03	9.893348e-03	2.270684e-03	9.284051e-04
-1.658980e+00	1.475090e+00	8.920068e-02	9.086791e-01	7.648267e-04	1.024537e-02	2.358028e-04	2.360411e-04
-1.509620e+00	1.345640e+00	4.921277e-02	9.083530e-01	1.746803e-05	7.099567e+07	4.124781e+06	8.063692e+06
-1.593110e+00	1.362510e+00	4.711481e-02	9.107914e-01	2.469071e-03	1.013307e-02	4.221695e-03	1.486840e-03
-1.675480e+00	1.380670e+00	7.377999e-02	9.100185e-01	9.719516e-04	6.062741e-03	2.539038e-04	1.715353e-04
-6.113800e-02	1.345700e+00	8.012111e-02	9.091746e-01	2.951176e-03	2.494863e-02	6.637449e-03	1.817321e-03
2.235220e-02	1.362570e+00	4.055084e-02	9.098167e-01	3.608211e-04	6.584585e-03	1.675697e-04	1.543717e-04
1.047180e-01	1.380730e+00	2.669576e-02	9.094819e-01	9.728715e-05	4.531800e-03	7.501254e-05	6.774280e-05
-7.779700e-02	1.457720e+00	4.300949e+00	9.394960e-01	3.304690e-02	nan	nan	nan
5.538070e-03	1.466100e+00	2.509592e-02	9.071378e-01	2.091656e-03	9.547494e-03	6.144766e-03	2.574081e-03
8.820940e-02	1.475150e+00	4.182664e-02	9.083205e-01	8.775506e-04	6.344225e-03	3.362820e-04	2.786431e-04
3.058340e+00	1.570790e+00	4.513594e-02	9.100638e-01	7.780977e-04	8.474765e-03	4.704544e-04	3.828216e-04
-3.141580e+00	1.570780e+00	5.971478e-02	9.092687e-01	1.848777e-04	1.449206e-02	1.381303e-04	1.848989e-04
