# alpha	beta	int	d	sig	s_int	s_d	s_sig
1.631960e+00	1.345730e+00	2.093284e-01	2.031485e+00	7.990896e-04	2.801950e-02	2.999874e-04	2.688283e-04
1.548470e+00	1.362600e+00	2.597699e-01	2.031467e+00	2.984032e-03	4.765186e-02	1.180288e-03	9.522423e-04
1.466110e+00	1.380760e+00	2.638984e-01	2.034652e+00	2.986153e-03	3.483083e-02	2.937951e-03	9.505894e-04
1.648620e+00	1.457750e+00	2.908772e-01	2.034941e+00	3.082152e-03	2.198054e-02	1.495891e-03	4.990567e-04
1.565280e+00	1.466130e+00	3.102659e-01	2.033838e+00	2.253064e-03	2.362173e-02	4.976786e-04	3.419246e-04
1.482610e+00	1.475170e+00	6.060507e-01	2.033855e+00	2.466592e-03	3.903533e-02	7.899745e-04	3.007429e-04
-1.487520e+00	1.570750e+00	4.974765e-01	2.035502e+00	3.113883e-03	2.766369e-02	1.250798e-03	3.754877e-04
-1.570790e+00	1.570750e+00	6.557904e-01	2.034928e+00	2.526787e-03	3.550339e-02	4.900056e-04	2.452503e-04
-1.653540e+00	1.570750e+00	7.743766e-01	2.034667e+00	2.608715e-03	3.680884e-02	7.745529e-04	2.675323e-04
-1.492970e+00	1.457670e+00	3.859284e-01	2.035078e+00	2.973741e-03	2.615209e-02	1.441250e-03	4.863724e-04
-1.576310e+00	1.466040e+00	5.505656e-01	2.034672e+00	2.750468e-03	3.322000e-02	7.841678e-04	3.578317e-04
-1.658980e+00	1.475090e+00	6.365023e-01	2.032232e+00	2.600756e-03	4.183189e-02	4.646754e-04	3.431337e-04
-1.509620e+00	1.345640e+00	2.690563e-01	2.033760e+00	3.334602e-03	1.757614e-02	2.300113e-03	6.552195e-04
-1.593110e+00	1.362510e+00	2.876107e-01	2.035249e+00	2.807449e-03	2.437418e-02	9.550682e-04	4.695595e-04
-1.675480e+00	1.380670e+00	5.776363e-01	2.033872e+00	3.348923e-03	3.814161e-02	2.026499e-03	5.931476e-04
-6.113800e-02	1.345700e+00	1.341902e-01	2.033936e+00	2.315166e-03	1.642467e-02	2.234766e-03	8.230993e-04
2.235220e-02	1.362570e+00	9.252286e-02	2.030567e+00	2.892293e-03	2.586094e-02	2.715440e-03	1.640933e-03
1.047180e-01	1.380730e+00	1.002342e-01	2.031696e+00	2.171999e-03	1.738164e-02	1.178632e-03	8.272813e-04
-7.779700e-02	1.457720e+00	2.282482e-01	2.032549e+00	3.592520e-03	2.089582e-02	3.233431e-03	8.163408e-04
5.538070e-03	1.466100e+00	3.263238e-01	2.032608e+00	2.887593e-03	2.175229e-02	1.492490e-03	4.951688e-04
8.820940e-02	1.475150e+00	3.181222e-01	2.032792e+00	3.001380e-03	2.706188e-02	1.996108e-03	6.246827e-04
3.058340e+00	1.570790e+00	3.796574e-01	2.032172e+00	3.765607e-03	2.637597e-02	1.023049e-03	4.798212e-04
-3.141580e+00	1.570780e+00	4.395352e-01	2.033082e+00	2.582328e-03	3.127955e-02	6.682601e-04	3.968103e-04
-3.058830e+00	1.570780e+00	4.650471e-01	2.033706e+00	3.132560e-03	3.082809e-02	1.812083e-03	5.509456e-04
3.063790e+00	1.457700e+00	1.483661e-01	2.033283e+00	3.322859e-03	1.741603e-02	4.023844e-03	1.142651e-03
-3.136060e+00	1.466070e+00	1.859404e-01	2.031463e+00	2.361206e-04	nan	nan	nan
-3.053390e+00	1.475110e+00	1.586501e-01	2.033687e+00	2.104731e-03	1.992046e-02	9.618705e-04	5.640262e-04
3.080430e+00	1.345670e+00	1.067775e-01	2.032268e+00	4.447674e-03	2.007528e-02	1.453597e-02	3.150051e-03
-3.119260e+00	1.362540e+00	9.981803e-02	2.033401e+00	3.053377e-03	1.797131e-02	4.424210e-03	1.379429e-03
-3.036890e+00	1.380690e+00	1.394879e-01	2.031435e+00	2.065683e-03	1.813443e-02	6.987680e-04	5.329611e-04
-1.508440e+00	1.273260e+00	1.834921e-01	2.033109e+00	2.270068e-03	1.890396e-02	6.315363e-04	4.922319e-04
-1.593780e+00	1.255560e+00	2.174946e-01	2.032767e+00	3.264928e-03	2.432071e-02	3.501645e-03	1.044871e-03
-1.679510e+00	1.240120e+00	1.763630e-01	2.034380e+00	3.179614e-03	3.469350e-02	5.404909e-03	1.622063e-03
-1.486520e+00	1.161920e+00	1.629242e-01	2.034128e+00	2.239156e-03	1.882323e-02	7.702870e-04	4.304105e-04
-1.576800e+00	1.151910e+00	1.724314e-01	2.033482e+00	2.938565e-03	2.591782e-02	1.406474e-03	7.739371e-04
-1.667220e+00	1.144980e+00	2.116821e-01	2.032402e+00	1.795738e-03	2.813792e-02	9.811384e-04	5.104105e-04
-1.474720e+00	1.049190e+00	3.487443e-01	2.032938e+00	3.035172e-03	2.662653e-02	1.881763e-03	5.794737e-04
-1.570790e+00	1.047190e+00	2.829856e-01	2.031980e+00	2.429448e-03	2.661154e-02	6.910575e-04	4.296483e-04
-1.666270e+00	1.049170e+00	2.947955e-01	2.032006e+00	2.366502e-03	2.546926e-02	1.291176e-03	5.103899e-04
-1.474710e+00	9.359740e-01	1.746288e+00	2.032282e+00	3.221629e-03	5.331126e-02	4.376813e-04	1.759530e-04
-1.577580e+00	9.424940e-01	1.511993e+00	2.032519e+00	2.992869e-03	5.819625e-02	4.790984e-04	2.139885e-04
-1.678490e+00	9.538990e-01	1.085485e+00	2.029792e+00	2.927164e-03	4.727730e-02	3.734754e-04	2.332393e-04
-1.489460e+00	8.233250e-01	9.140980e+00	2.031173e+00	4.070121e-03	1.433364e-01	2.392933e-04	1.114928e-04
-1.600160e+00	8.391170e-01	5.369909e+00	2.032895e+00	3.748837e-03	1.040357e-01	2.971457e-04	1.307935e-04
-1.706550e+00	8.606580e-01	2.835104e+00	2.031896e+00	3.644533e-03	8.457288e-02	9.097905e-04	2.603900e-04
6.160300e-02	1.345810e+00	5.033246e-06	2.029157e+00	1.371944e-02	nan	nan	nan
1.243770e-01	1.401890e+00	9.051620e-02	2.032463e+00	3.194178e-03	2.034893e-02	6.611830e-03	1.867802e-03
1.855780e-01	1.458250e+00	1.198346e-01	2.032314e+00	1.945210e-03	1.903580e-02	9.372993e-04	5.131167e-04
-1.056420e-02	1.434030e+00	2.300550e-01	2.029895e+00	2.414599e-03	2.305097e-02	6.228356e-04	4.237806e-04
5.726780e-02	1.482920e+00	2.167751e-01	2.031570e+00	2.894522e-03	2.116200e-02	2.048956e-03	6.737428e-04
1.241030e-01	1.531910e+00	3.242377e-01	2.032832e+00	3.229924e-03	2.769107e-02	1.231896e-03	5.980218e-04
-7.214980e-02	1.529210e+00	3.854440e-01	2.032490e+00	2.433720e-03	2.506071e-02	6.245400e-04	3.131524e-04
-3.141590e+00	1.570790e+00	3.341198e-01	2.034267e+00	3.254970e-03	2.796802e-02	2.457522e-03	7.475483e-04
-3.069890e+00	1.529450e+00	2.914358e-01	2.033517e+00	3.386115e-03	2.515436e-02	2.998709e-03	8.435635e-04
3.017750e+00	1.511640e+00	1.906499e-01	2.034361e+00	1.875279e-03	3.170538e-02	8.118274e-04	5.673366e-04
3.093860e+00	1.477390e+00	2.028120e-01	2.033911e+00	4.204804e-03	4.758572e-02	1.444091e-02	3.343609e-03
-3.113190e+00	1.443890e+00	1.500381e-01	2.033630e+00	2.496603e-03	1.748836e-02	2.089706e-03	7.948082e-04
2.975400e+00	1.406530e+00	1.346382e-01	2.032616e+00	3.570370e-03	1.734568e-02	5.027408e-03	1.390296e-03
3.055470e+00	1.379660e+00	1.052782e-01	2.035238e+00	2.216286e-03	1.735264e-02	2.519526e-03	9.939952e-04
3.135860e+00	1.354160e+00	1.309859e-01	2.033229e+00	3.527833e-03	3.285025e-02	9.212227e-03	2.225408e-03
-1.857590e+00	1.273340e+00	2.519657e-01	2.034880e+00	2.943504e-03	1.673208e-02	1.483615e-03	4.739635e-04
-1.942920e+00	1.255640e+00	1.940550e-01	2.034450e+00	2.827691e-03	2.210023e-02	2.802424e-03	9.374511e-04
-2.028660e+00	1.240200e+00	1.863241e-01	2.034615e+00	3.015075e-03	3.163278e-02	4.275465e-03	1.323848e-03
-1.835670e+00	1.162000e+00	1.713354e-01	2.035267e+00	2.754373e-03	1.849614e-02	2.218533e-03	7.705204e-04
-1.925960e+00	1.151990e+00	2.168604e-01	2.033494e+00	2.404445e-03	2.083340e-02	7.136349e-04	4.767071e-04
-2.016360e+00	1.145070e+00	2.028111e-01	2.033605e+00	2.822427e-03	2.596001e-02	2.381333e-03	8.816021e-04
-1.823880e+00	1.049270e+00	2.112151e-01	2.033427e+00	4.113129e-03	1.956579e-02	4.985149e-03	1.239098e-03
-1.919950e+00	1.047270e+00	3.319847e-01	2.032493e+00	2.801309e-03	2.782346e-02	7.067580e-04	4.197155e-04
-2.015420e+00	1.049250e+00	3.852796e-01	2.032740e+00	2.922084e-03	2.382373e-02	1.658937e-03	5.286258e-04
-1.823880e+00	9.360510e-01	7.051431e-01	2.031762e+00	2.808369e-03	3.148300e-02	3.513213e-04	2.121827e-04
-1.926740e+00	9.425740e-01	5.814686e-01	2.031652e+00	2.649661e-03	3.448289e-02	4.422488e-04	2.633994e-04
-2.027640e+00	9.539820e-01	4.282574e-01	2.030684e+00	2.270808e-03	2.804938e-02	4.168416e-04	2.851664e-04
-1.838630e+00	8.234020e-01	2.194825e+00	2.032144e+00	4.031418e-03	4.581828e-02	5.734146e-04	1.838140e-04
-1.949320e+00	8.391980e-01	1.385262e+00	2.034029e+00	3.540798e-03	5.547965e-02	1.133571e-03	3.355804e-04
-2.055700e+00	8.607410e-01	9.039853e-01	2.032010e+00	3.137850e-03	4.195684e-02	6.694745e-04	2.752831e-04
-2.875550e-01	1.345780e+00	5.167596e-02	2.029776e+00	6.274580e-05	1.739070e+03	1.388847e+02	1.350697e+02
-2.247770e-01	1.401850e+00	9.656445e-02	2.032258e+00	2.358178e-03	1.913947e-02	2.529485e-03	1.046568e-03
-1.635700e-01	1.458210e+00	1.479161e-01	2.031040e+00	1.710648e-03	2.298670e-02	6.361891e-04	5.646564e-04
-3.597160e-01	1.434010e+00	3.988897e-01	2.031550e+00	2.946584e-03	2.792022e-02	7.481773e-04	4.077975e-04
-2.918790e-01	1.482890e+00	4.095214e-01	2.033316e+00	3.513991e-03	2.739548e-02	2.104004e-03	6.172682e-04
-2.250400e-01	1.531880e+00	2.917351e-01	2.032226e+00	3.089515e-03	2.586137e-02	1.009212e-03	4.959061e-04
-4.212930e-01	1.529190e+00	9.913481e-01	2.034416e+00	3.364628e-03	3.607430e-02	3.910560e-04	2.096360e-04
-3.491400e-01	1.570780e+00	7.215921e-01	2.034716e+00	3.143281e-03	3.360539e-02	1.084971e-03	3.443562e-04
2.864160e+00	1.529480e+00	3.692220e-01	2.033215e+00	2.194958e-03	3.363604e-02	5.193310e-04	3.559024e-04
2.668610e+00	1.511660e+00	8.431945e-01	2.036160e+00	3.974498e-03	3.156709e-02	1.554497e-03	3.899709e-04
2.744730e+00	1.477410e+00	3.531446e-01	2.033062e+00	1.915049e-03	2.940085e-02	4.360181e-04	3.320982e-04
2.820870e+00	1.443910e+00	1.107275e-01	2.034817e+00	3.674464e-03	1.924184e-02	8.358537e-03	2.171701e-03
2.626270e+00	1.406540e+00	3.101601e-01	2.034137e+00	2.975583e-03	2.213864e-02	6.233156e-04	3.966124e-04
2.706350e+00	1.379680e+00	8.430346e-02	2.033675e+00	1.814013e-03	1.172616e-02	1.075775e-03	5.411301e-04
2.786740e+00	1.354180e+00	1.523823e-01	2.031529e+00	5.460928e-03	3.696672e-02	2.699924e-02	5.183154e-03
-2.206680e+00	1.273260e+00	3.305950e-01	2.036248e+00	3.774264e-03	2.121714e-02	2.713282e-03	7.227148e-04
-2.292020e+00	1.255570e+00	4.538295e-01	2.034502e+00	3.835082e-03	2.538936e-02	1.496160e-03	4.912528e-04
-2.377750e+00	1.240140e+00	3.873198e-01	2.033134e+00	2.886938e-03	3.487162e-02	8.104103e-04	4.472281e-04
-2.184770e+00	1.161930e+00	1.944209e-01	2.036325e+00	3.971116e-03	1.754660e-02	5.099788e-03	1.209461e-03
-2.275050e+00	1.151920e+00	1.311674e-01	2.034703e+00	2.291167e-03	1.656241e-02	1.792073e-03	7.725109e-04
-2.365470e+00	1.145000e+00	2.308937e-01	2.033993e+00	3.025705e-03	2.164454e-02	2.084550e-03	6.381036e-04
-2.172980e+00	1.049200e+00	1.795041e-01	2.033809e+00	3.514933e-03	1.528630e-02	3.121351e-03	8.500272e-04
-2.269050e+00	1.047200e+00	2.627850e-01	2.031099e+00	3.517475e-03	2.932998e-02	1.004666e-03	6.878970e-04
-2.364530e+00	1.049180e+00	2.694919e-01	2.031590e+00	2.294199e-03	2.048119e-02	5.146402e-04	3.560852e-04
-2.172980e+00	9.359770e-01	2.852303e-01	2.033685e+00	3.402501e-03	2.081616e-02	2.302013e-03	6.358831e-04
-2.275850e+00	9.425040e-01	3.578554e-01	2.033829e+00	2.790112e-03	2.555208e-02	1.098646e-03	4.336583e-04
-2.376750e+00	9.539150e-01	4.412404e-01	2.031857e+00	2.867100e-03	2.479880e-02	1.005791e-03	3.403787e-04
-2.187740e+00	8.233290e-01	7.259130e-01	2.031755e+00	3.366252e-03	2.850619e-02	4.026245e-04	2.289572e-04
-2.298430e+00	8.391280e-01	7.998423e-01	2.034117e+00	3.231047e-03	3.681367e-02	1.239335e-03	3.972026e-04
-2.404820e+00	8.606760e-01	9.020638e-01	2.032561e+00	3.135116e-03	3.917602e-02	9.616404e-04	2.977548e-04
-6.366220e-01	1.345750e+00	3.529608e-01	2.034222e+00	3.268454e-03	2.537128e-02	2.015624e-03	6.036457e-04
-5.738470e-01	1.401830e+00	5.414939e-01	2.033153e+00	2.901502e-03	3.534997e-02	5.200780e-04	2.915715e-04
-5.126450e-01	1.458190e+00	8.031881e-01	2.035120e+00	3.177892e-03	3.872337e-02	1.170312e-03	3.600375e-04
-7.087890e-01	1.433970e+00	1.467006e+00	2.034040e+00	3.103639e-03	4.291746e-02	3.387924e-04	1.587797e-04
-6.409560e-01	1.482860e+00	1.799838e+00	2.035164e+00	3.452825e-03	5.782950e-02	9.972593e-04	2.830997e-04
-5.741200e-01	1.531850e+00	1.872390e+00	2.035316e+00	3.184076e-03	5.739765e-02	6.665862e-04	2.072528e-04
-7.703740e-01	1.529150e+00	2.367548e+00	2.035934e+00	4.209791e-03	5.115683e-02	6.185576e-04	1.961769e-04
-6.982230e-01	1.570740e+00	2.810365e+00	2.036107e+00	3.655808e-03	6.690889e-02	7.616407e-04	2.073399e-04
