# alpha	beta	int	d	sig	s_int	s_d	s_sig
-2.577190e+00	1.546550e+00	3.214809e-02	1.437946e+00	1.691690e-03	7.521919e-03	1.975247e-03	9.458290e-04
-2.743990e+00	1.442520e+00	nan	nan	nan	nan	nan	nan
-2.703530e+00	1.515390e+00	2.297090e-02	1.438645e+00	2.943359e-03	9.143522e-03	9.273564e-03	2.976065e-03
4.779600e-01	1.553700e+00	1.783467e-02	1.438753e+00	2.954862e-05	1.832972e+08	1.527882e+07	1.789120e+07
-2.840380e+00	1.502690e+00	5.830096e-02	1.437215e+00	2.256244e-04	1.007302e-02	1.519869e-04	1.622020e-04
3.490490e-01	1.570720e+00	1.112844e-01	1.437198e+00	7.493411e-04	1.136979e-02	2.218342e-04	2.440602e-04
3.965890e-01	1.502970e+00	6.041060e-02	1.438461e+00	2.779717e-03	1.083680e-02	2.970970e-03	1.158919e-03
2.118780e-01	1.569260e+00	3.765078e-01	1.437430e+00	2.772234e-03	2.282138e-02	5.463456e-04	3.056835e-04
2.663190e-01	1.506230e+00	2.586708e-01	1.437059e+00	2.005505e-03	2.086154e-02	4.613015e-04	3.256324e-04
3.208660e-01	1.443770e+00	9.086575e-02	1.436113e+00	1.733599e-03	1.290608e-02	5.854000e-04	4.802562e-04
1.295880e-01	1.491410e+00	7.740769e-01	1.437767e+00	3.114979e-03	2.972836e-02	3.455371e-04	2.101816e-04
1.900830e-01	1.433820e+00	3.308748e-01	1.439248e+00	3.734619e-03	1.893193e-02	2.386013e-03	6.351962e-04
2.511620e-01	1.377080e+00	1.040256e-01	1.440764e+00	2.853271e-03	1.215742e-02	2.976536e-03	9.285686e-04
1.476530e+00	8.378010e-01	4.080514e-12	1.422983e+00	1.308651e-02	nan	nan	nan
1.366360e+00	8.191900e-01	1.132483e-02	1.432909e+00	8.308046e-04	6.986757e-03	1.186152e-03	9.114121e-04
1.253680e+00	8.068800e-01	nan	nan	nan	nan	nan	nan
1.512690e+00	7.274780e-01	nan	nan	nan	nan	nan	nan
1.387900e+00	7.154040e-01	7.992421e-03	1.434154e+00	4.637073e-05	1.445446e+02	1.735960e+01	1.899472e+01
1.261550e+00	7.112120e-01	2.085956e-02	1.435722e+00	4.368888e-05	1.209726e+03	2.114188e+02	4.753226e+02
1.540800e+00	6.156100e-01	nan	nan	nan	nan	nan	nan
1.396270e+00	6.106770e-01	nan	nan	nan	nan	nan	nan
1.252630e+00	6.155490e-01	1.205179e-02	1.433628e+00	1.172999e-03	4.872853e-03	1.948944e-03	1.253507e-03
1.557280e+00	5.027260e-01	2.217986e-02	1.437021e+00	1.130423e-03	6.583890e-03	1.014009e-03	6.533402e-04
1.384950e+00	5.059940e-01	2.545578e-02	1.434883e+00	5.282927e-06	5.561323e+08	3.003499e+07	8.589532e+06
1.219330e+00	5.214090e-01	2.076778e-02	1.433803e+00	2.002017e-03	7.379456e-03	3.985338e-03	1.846496e-03
1.553820e+00	3.895160e-01	7.604637e-02	1.435543e+00	2.810004e-03	8.602669e-03	2.590142e-03	8.124565e-04
