id_ori,hkl,rho_rad,phi_rad,strain_exp
0,"[1.0, 1.0, 0.0]",1.3514060310560527,1.3072688684717981,3094.9720713080246
0,"[1.0, 1.0, 0.0]",0.8119415204915145,3.0911188720651794,2705.875166770674
0,"[1.0, 1.0, 0.0]",1.3514060310560527,1.3072688684717981,3094.9720713080246
0,"[1.0, 1.0, 0.0]",0.8119415204915145,3.0911188720651794,2705.875166770674
0,"[1.0, 1.0, 0.0]",0.34125632854541316,0.8628254400454382,2722.2932528395427
0,"[1.0, 1.0, 0.0]",0.760196855735787,-1.6239506074102752,2428.365140441335
0,"[1.0, 1.0, 0.0]",1.5341786815560876,-0.8113052255101568,4198.583503196301
0,"[1.0, 1.0, 0.0]",1.3137303525152668,0.22697280423638763,2623.4017634177076
0,"[1.0, 1.0, 0.0]",1.5341786815560876,-0.8113052255101568,4198.583503196301
0,"[1.0, 1.0, 0.0]",1.3137303525152668,0.22697280423638763,2623.4017634177076
0,"[1.0, 1.0, 0.0]",0.34125632854541316,0.8628254400454382,2722.2932528395427
0,"[1.0, 1.0, 0.0]",0.760196855735787,-1.6239506074102752,2428.365140441335
1,"[1.0, 1.0, 0.0]",1.3929500002431259,1.1558867395888495,3491.2404538208375
1,"[1.0, 1.0, 0.0]",0.7017979380826452,2.9409428870934637,2810.74217261177
1,"[1.0, 1.0, 0.0]",1.3929500002431259,1.1558867395888495,3491.2404538208375
1,"[1.0, 1.0, 0.0]",0.7017979380826452,2.9409428870934637,2810.74217261177
1,"[1.0, 1.0, 0.0]",0.42913819021369204,0.5608176844901316,2798.3714446027925
1,"[1.0, 1.0, 0.0]",0.748935008046686,-1.6360510226910723,2414.397165621422
1,"[1.0, 1.0, 0.0]",1.5395229347500372,2.200035108864451,3747.132667307034
1,"[1.0, 1.0, 0.0]",1.4246344789540228,0.09377340899165246,2643.0789950679177
1,"[1.0, 1.0, 0.0]",1.5395229347500372,2.200035108864451,3747.132667307034
1,"[1.0, 1.0, 0.0]",1.4246344789540228,0.09377340899165246,2643.0789950679177
1,"[1.0, 1.0, 0.0]",0.42913819021369204,0.5608176844901316,2798.3714446027925
1,"[1.0, 1.0, 0.0]",0.748935008046686,-1.6360510226910723,2414.397165621422
2,"[1.0, 1.0, 0.0]",1.434803609294113,-2.6219227702176866,3700.142304769163
2,"[1.0, 1.0, 0.0]",0.6408885131894042,1.9059751173623554,2350.804432596012
2,"[1.0, 1.0, 0.0]",1.434803609294113,-2.6219227702176866,3700.142304769163
2,"[1.0, 1.0, 0.0]",0.6408885131894042,1.9059751173623554,2350.804432596012
2,"[1.0, 1.0, 0.0]",0.7306089640926429,0.0896607535035447,2771.639058091442
2,"[1.0, 1.0, 0.0]",0.4942134069571154,-1.9952098902902347,2301.2158004294915
2,"[1.0, 1.0, 0.0]",1.4919373494742199,-1.5694439973047611,3110.5840422222054
2,"[1.0, 1.0, 0.0]",1.5139690852497305,2.6114007003575845,3796.334998219676
2,"[1.0, 1.0, 0.0]",1.4919373494742199,-1.5694439973047611,3110.5840422222054
2,"[1.0, 1.0, 0.0]",1.5139690852497305,2.6114007003575845,3796.334998219676
2,"[1.0, 1.0, 0.0]",0.7306089640926429,0.0896607535035447,2771.639058091442
2,"[1.0, 1.0, 0.0]",0.4942134069571154,-1.9952098902902347,2301.2158004294915
3,"[1.0, 1.0, 0.0]",1.4126118125012075,-2.6745379118320667,3609.3872483729783
3,"[1.0, 1.0, 0.0]",0.6696988209820284,1.834991922063549,2277.140875312518
3,"[1.0, 1.0, 0.0]",1.4126118125012075,-2.6745379118320667,3609.3872483729783
3,"[1.0, 1.0, 0.0]",0.6696988209820284,1.834991922063549,2277.140875312518
3,"[1.0, 1.0, 0.0]",0.7409767791023604,0.07586006754361728,2773.5412286489714
3,"[1.0, 1.0, 0.0]",0.461613044117388,-2.0584296374745086,2413.1695628614852
3,"[1.0, 1.0, 0.0]",1.4592385125737244,-1.6176894755003561,3157.7711590149897
3,"[1.0, 1.0, 0.0]",1.5245807947118455,2.5608555644778446,3896.0739837045994
3,"[1.0, 1.0, 0.0]",1.4592385125737244,-1.6176894755003561,3157.7711590149897
3,"[1.0, 1.0, 0.0]",1.5245807947118455,2.5608555644778446,3896.0739837045994
3,"[1.0, 1.0, 0.0]",0.7409767791023604,0.07586006754361728,2773.5412286489714
3,"[1.0, 1.0, 0.0]",0.461613044117388,-2.0584296374745086,2413.1695628614852
