lambda_A,B_0_0,B_2_0,B_4_0,B_6_0,B_6_1
1.0,21.484374921581516,-0.039455932531039475,-0.014759559842100905,-0.0341733586652339,-0.04324042270122794
1.0100200400801602,21.377780402279452,-3.9381675179054906e-06,-0.012863861997676902,-0.029889613521802142,-0.02000489633548092
1.0200400801603207,21.672228957939684,0.02383385658308371,-0.018659977221052233,-0.0362377593244142,-0.024594924420136506
1.0300601202404809,21.97126281545643,0.032655570554058155,-0.02347140488025003,-0.04206882488336928,-0.03905008914880586
1.0400801603206413,22.32743201588567,0.019724186254890332,-0.01963441680400167,-0.04180096139886084,-0.04170483096287186
1.0501002004008015,22.7597052772815,0.020716524781662304,-0.021150321468697074,-0.04647823555519565,-0.046259964908587026
1.060120240480962,22.468669896091516,0.008288491480867542,0.031295093545339533,0.0020081465307534153,-0.0032140158860969855
1.0701402805611222,22.513054887728163,0.02156420146722637,0.00438075069492536,-0.012612269551927149,0.011438011754160435
1.0801603206412826,22.847555092576194,0.002537450498761446,0.017120819028809093,0.007513533013871513,0.027668172777230417
1.0901803607214429,22.945324169143543,-0.005416999064590692,-0.018759607221324723,0.027373966898426652,0.013127733074340113
1.100200400801603,23.22237314142161,0.010971429818903365,-0.017717713728916444,0.0287756225370381,0.031476768645778294
1.1102204408817635,23.243226573256962,-0.029837563390479667,-0.043015150906320056,0.018748811444007488,0.00028943852682207115
1.1202404809619237,23.479916267356575,-0.07194174285443256,-0.024882428780047722,-0.012862653954614934,0.017343075813044492
1.1302605210420842,23.73729264030356,-0.004455475095299086,0.02117790027020125,-0.0133009887266453,-0.010250892896892473
1.1402805611222444,24.160032199453376,-0.004605323962216002,0.02421761596553565,-0.013845396424057806,-0.010654107814507345
1.1503006012024048,24.46503967098959,-0.015738620642798733,0.019297799945892286,-0.005175982112848693,-0.022663759907305216
1.160320641282565,24.579689679387663,-0.008751958926997103,-0.021569782133654094,-0.01663821202730937,-0.0386390851577953
1.1703406813627255,24.940030747959554,0.012705188393801145,-0.017600821973772846,-0.01804876398704979,-0.04119977110539648
1.1803607214428857,25.096241680766834,0.03843160959020331,-0.05870596260347189,-0.011389822953324571,-0.04106140514533268
